time,round_date,date_time,turbidity_clearwell_ntu
07:00:00,2018-03-20,"2018-03-20 07:00:00",0.0600
10:00:00,2018-03-20,"2018-03-20 10:00:00",0.0500
13:00:00,2018-03-20,"2018-03-20 13:00:00",0.0500
16:00:00,2018-03-20,"2018-03-20 16:00:00",0.0500
19:00:00,2018-03-20,"2018-03-20 19:00:00",0.0500
23:00:00,2018-03-20,"2018-03-20 23:00:00",0.0500
02:00:00,2018-03-21,"2018-03-21 02:00:00",0.0400
05:00:00,2018-03-21,"2018-03-21 05:00:00",0.0400
07:00:00,2018-03-21,"2018-03-21 07:00:00",0.0400
10:00:00,2018-03-21,"2018-03-21 10:00:00",0.0400
13:00:00,2018-03-21,"2018-03-21 13:00:00",0.0500
16:00:00,2018-03-21,"2018-03-21 16:00:00",0.0500
20:00:00,2018-03-21,"2018-03-21 20:00:00",0.0400
23:00:00,2018-03-21,"2018-03-21 23:00:00",0.0400
02:00:00,2018-03-22,"2018-03-22 02:00:00",0.0500
05:00:00,2018-03-22,"2018-03-22 05:00:00",0.0500
07:00:00,2018-03-22,"2018-03-22 07:00:00",0.0500
10:00:00,2018-03-22,"2018-03-22 10:00:00",0.0500
13:00:00,2018-03-22,"2018-03-22 13:00:00",0.0500
17:00:00,2018-03-22,"2018-03-22 17:00:00",0.0400
19:00:00,2018-03-22,"2018-03-22 19:00:00",0.0400
22:00:00,2018-03-22,"2018-03-22 22:00:00",0.0400
23:00:00,2018-03-22,"2018-03-22 23:00:00",0.0500
02:00:00,2018-03-23,"2018-03-23 02:00:00",0.0400
05:00:00,2018-03-23,"2018-03-23 05:00:00",0.0400
08:00:00,2018-03-23,"2018-03-23 08:00:00",0.0500
11:00:00,2018-03-23,"2018-03-23 11:00:00",0.0600
14:00:00,2018-03-23,"2018-03-23 14:00:00",0.0500
17:00:00,2018-03-23,"2018-03-23 17:00:00",0.0500
19:00:00,2018-03-23,"2018-03-23 19:00:00",0.0400
21:00:00,2018-03-23,"2018-03-23 21:00:00",0.0500
23:00:00,2018-03-23,"2018-03-23 23:00:00",0.0400
02:00:00,2018-03-24,"2018-03-24 02:00:00",0.0500
06:00:00,2018-03-24,"2018-03-24 06:00:00",0.0400
08:00:00,2018-03-24,"2018-03-24 08:00:00",0.0500
11:00:00,2018-03-24,"2018-03-24 11:00:00",0.0500
14:00:00,2018-03-24,"2018-03-24 14:00:00",0.0500
17:00:00,2018-03-24,"2018-03-24 17:00:00",0.0500
20:00:00,2018-03-24,"2018-03-24 20:00:00",0.0500
23:00:00,2018-03-24,"2018-03-24 23:00:00",0.0400
02:00:00,2018-03-25,"2018-03-25 02:00:00",0.0500
05:00:00,2018-03-25,"2018-03-25 05:00:00",0.0500
07:00:00,2018-03-25,"2018-03-25 07:00:00",0.0600
10:00:00,2018-03-25,"2018-03-25 10:00:00",0.0500
13:00:00,2018-03-25,"2018-03-25 13:00:00",0.0500
17:00:00,2018-03-25,"2018-03-25 17:00:00",0.0500
20:00:00,2018-03-25,"2018-03-25 20:00:00",0.0400
23:00:00,2018-03-25,"2018-03-25 23:00:00",0.0400
02:00:00,2018-03-26,"2018-03-26 02:00:00",0.0500
05:00:00,2018-03-26,"2018-03-26 05:00:00",0.0500
07:00:00,2018-03-26,"2018-03-26 07:00:00",0.0500
11:00:00,2018-03-26,"2018-03-26 11:00:00",0.0500
14:00:00,2018-03-26,"2018-03-26 14:00:00",0.0500
16:00:00,2018-03-26,"2018-03-26 16:00:00",0.0500
18:00:00,2018-03-26,"2018-03-26 18:00:00",0.0500
20:00:00,2018-03-26,"2018-03-26 20:00:00",0.0500
23:00:00,2018-03-26,"2018-03-26 23:00:00",0.0500
02:00:00,2018-03-27,"2018-03-27 02:00:00",0.0500
05:00:00,2018-03-27,"2018-03-27 05:00:00",0.0500
08:00:00,2018-03-27,"2018-03-27 08:00:00",0.0500
11:00:00,2018-03-27,"2018-03-27 11:00:00",0.0500
14:00:00,2018-03-27,"2018-03-27 14:00:00",0.0500
17:00:00,2018-03-27,"2018-03-27 17:00:00",0.0600
20:00:00,2018-03-27,"2018-03-27 20:00:00",0.0500
23:00:00,2018-03-27,"2018-03-27 23:00:00",0.0500
